"","Dataset","DefectNum","ModuleNum","ImbLevel","ImbGroup","Metrics","Classifier","ImbLearner","ImbLearnerType","MCC","dset","bMCC","dMCC"
"417","jedit-4.1",79,312,2.9493670886076,"Low IR","CK","C4.5","Y","UOBst",0.3581,"jedit-4.1",0.4463,-0.0882
"418","jedit-4.2",48,367,6.64583333333333,"M&H IR","CK","C4.5","Y","UOBst",0.2125,"jedit-4.2",0.0516,0.1609
"419","jedit-4.3",11,492,43.7272727272727,"M&H IR","CK","C4.5","Y","UOBst",0.1772,"jedit-4.3",0,0.1772
"420","log4j-1.0",34,135,2.97058823529412,"Low IR","CK","C4.5","Y","UOBst",0.3889,"log4j-1.0",0.4226,-0.0337
"421","poi-2.0",37,314,7.48648648648649,"M&H IR","CK","C4.5","Y","UOBst",0.2281,"poi-2.0",0.0231,0.205
"422","synapse-1.0",16,157,8.8125,"M&H IR","CK","C4.5","Y","UOBst",0.1528,"synapse-1.0",0.0136,0.1392
"423","synapse-1.1",60,222,2.7,"Low IR","CK","C4.5","Y","UOBst",0.3248,"synapse-1.1",0.3822,-0.0574
"424","synapse-1.2",86,256,1.97674418604651,"Low IR","CK","C4.5","Y","UOBst",0.331,"synapse-1.2",0.462,-0.131
"425","velocity-1.6",78,229,1.93589743589744,"Low IR","CK","C4.5","Y","UOBst",0.253,"velocity-1.6",0.2073,0.0457
"426","xerces-1.2",71,440,5.19718309859155,"M&H IR","CK","C4.5","Y","UOBst",0.2556,"xerces-1.2",-0.0046,0.2602
"427","xerces-1.3",69,453,5.56521739130435,"M&H IR","CK","C4.5","Y","UOBst",0.3452,"xerces-1.3",0.3433,0.00190000000000001
"428","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","CK","C4.5","Y","UOBst",0.3816,"Eclipse_JDT_Core",0.4041,-0.0225
"429","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","CK","C4.5","Y","UOBst",0.177,"Eclipse_PDE_UI",0.0751,0.1019
"430","Equinox_Framework",129,324,1.51162790697674,"Low IR","CK","C4.5","Y","UOBst",0.3848,"Equinox_Framework",0.3526,0.0322
"431","Lucene",64,691,9.796875,"M&H IR","CK","C4.5","Y","UOBst",0.0999,"Lucene",0.0029,0.097
"432","Mylyn",245,1862,6.6,"M&H IR","CK","C4.5","Y","UOBst",0.2096,"Mylyn",0.0139,0.1957
"433","ant-1.3",20,125,5.25,"M&H IR","CK","C4.5","Y","SBst",0.3033,"ant-1.3",-0.0098,0.3131
"434","ant-1.4",40,178,3.45,"Low IR","CK","C4.5","Y","SBst",0.076,"ant-1.4",0,0.076
"435","ant-1.5",32,293,8.15625,"M&H IR","CK","C4.5","Y","SBst",0.2752,"ant-1.5",0.3255,-0.0503
"436","ant-1.6",92,351,2.81521739130435,"Low IR","CK","C4.5","Y","SBst",0.4365,"ant-1.6",0.4712,-0.0347
"437","camel-1.0",13,339,25.0769230769231,"M&H IR","CK","C4.5","Y","SBst",0.0268,"camel-1.0",0,0.0268
"438","camel-1.2",216,608,1.81481481481481,"Low IR","CK","C4.5","Y","SBst",0.079,"camel-1.2",0.0254,0.0536
"439","camel-1.4",145,872,5.01379310344828,"M&H IR","CK","C4.5","Y","SBst",0.142,"camel-1.4",0.0968,0.0452
"440","camel-1.6",188,965,4.13297872340426,"M&H IR","CK","C4.5","Y","SBst",0.1414,"camel-1.6",0.105,0.0364
"441","ivy-2.0",40,352,7.8,"M&H IR","CK","C4.5","Y","SBst",0.1704,"ivy-2.0",0.0938,0.0766
"442","jedit-3.2",90,272,2.02222222222222,"Low IR","CK","C4.5","Y","SBst",0.4092,"jedit-3.2",0.4465,-0.0373
"443","jedit-4.0",75,306,3.08,"Low IR","CK","C4.5","Y","SBst",0.3953,"jedit-4.0",0.3875,0.00779999999999997
"444","jedit-4.1",79,312,2.9493670886076,"Low IR","CK","C4.5","Y","SBst",0.3951,"jedit-4.1",0.4463,-0.0512
"445","jedit-4.2",48,367,6.64583333333333,"M&H IR","CK","C4.5","Y","SBst",0.207,"jedit-4.2",0.0516,0.1554
"446","jedit-4.3",11,492,43.7272727272727,"M&H IR","CK","C4.5","Y","SBst",0.0219,"jedit-4.3",0,0.0219
"447","log4j-1.0",34,135,2.97058823529412,"Low IR","CK","C4.5","Y","SBst",0.4036,"log4j-1.0",0.4226,-0.019
"448","poi-2.0",37,314,7.48648648648649,"M&H IR","CK","C4.5","Y","SBst",0.1779,"poi-2.0",0.0231,0.1548
"449","synapse-1.0",16,157,8.8125,"M&H IR","CK","C4.5","Y","SBst",0.0731,"synapse-1.0",0.0136,0.0595
"450","synapse-1.1",60,222,2.7,"Low IR","CK","C4.5","Y","SBst",0.3345,"synapse-1.1",0.3822,-0.0477
"451","synapse-1.2",86,256,1.97674418604651,"Low IR","CK","C4.5","Y","SBst",0.3671,"synapse-1.2",0.462,-0.0949
"452","velocity-1.6",78,229,1.93589743589744,"Low IR","CK","C4.5","Y","SBst",0.2677,"velocity-1.6",0.2073,0.0604
"453","xerces-1.2",71,440,5.19718309859155,"M&H IR","CK","C4.5","Y","SBst",0.2516,"xerces-1.2",-0.0046,0.2562
"454","xerces-1.3",69,453,5.56521739130435,"M&H IR","CK","C4.5","Y","SBst",0.3644,"xerces-1.3",0.3433,0.0211
"455","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","CK","C4.5","Y","SBst",0.3754,"Eclipse_JDT_Core",0.4041,-0.0287
