Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,Metrics,Classifier,ImbLearner,ImbLearnerType,AUC,MCC
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,SBst,0.5411 ,0.0582 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,SBst,0.5893 ,0.1372 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,SMOTE,0.5755 ,0.0551 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,SMOTE,0.5830 ,0.0385 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,SMOTE,0.5599 ,0.1531 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,SMOTE,0.6055 ,0.0846 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,SMOTE,0.5809 ,0.1000 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,SMOTE,0.4996 ,0.0057 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,SMOTE,0.6080 ,0.1852 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,UBag,0.6006 ,0.1176 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,UBag,0.5830 ,0.1086 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,UBag,0.5190 ,0.0263 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,UBag,0.5716 ,0.0758 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,UBag,0.5743 ,0.0751 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,UBag,0.5795 ,0.0808 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,UBag,0.5386 ,0.0503 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,UBst,0.5242 ,0.0495 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,UBst,0.5547 ,0.0435 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,UBst,0.5239 ,0.0020 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,UBst,0.5600 ,0.0475 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,UBst,0.6127 ,0.1595 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,UBst,0.5453 ,0.0829 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,UBst,0.5057 ,0.0008 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,UOBag,0.6265 ,0.1661 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,UOBag,0.5924 ,0.1099 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,UOBag,0.5089 ,-0.0034 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,UOBag,0.5981 ,0.1641 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,UOBag,0.6008 ,0.1231 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,UOBag,0.5935 ,0.1288 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,UOBag,0.5488 ,0.0278 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,UOBst,0.5634 ,0.0990 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,UOBst,0.5661 ,0.0822 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,UOBst,0.5031 ,-0.0052 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,UOBst,0.5735 ,0.0845 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,UOBst,0.5962 ,0.1203 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,UOBst,0.5522 ,0.0591 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,UOBst,0.5112 ,0.0129 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,UOS,0.5857 ,0.1536 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,UOS,0.5926 ,0.1325 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,UOS,0.4579 ,0.0321 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,UOS,0.5842 ,0.0841 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,UOS,0.5878 ,0.1104 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,UOS,0.5851 ,0.1367 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,UOS,0.5056 ,0.0112 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,US,0.5427 ,0.0905 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,US,0.5566 ,0.0737 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,US,0.5082 ,0.0107 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,US,0.5314 ,0.0353 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,US,0.5543 ,0.0799 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,US,0.5488 ,0.0793 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,US,0.5164 ,0.0295 
ant-1.5,32,293,0.109215017,8.15625,CK,C4.5,Y,Bag,0.7443 ,0.2916 
ant-1.5,32,293,0.109215017,8.15625,CK,IBk,Y,Bag,0.7945 ,0.3644 
ant-1.5,32,293,0.109215017,8.15625,CK,LR,Y,Bag,0.8398 ,0.2789 
ant-1.5,32,293,0.109215017,8.15625,CK,NB,Y,Bag,0.8124 ,0.4441 
ant-1.5,32,293,0.109215017,8.15625,CK,RF,Y,Bag,0.7640 ,0.3245 
ant-1.5,32,293,0.109215017,8.15625,CK,Ripper,Y,Bag,0.7595 ,0.3038 
ant-1.5,32,293,0.109215017,8.15625,CK,SVM,Y,Bag,0.5018 ,0.0000 
ant-1.5,32,293,0.109215017,8.15625,CK,C4.5,Y,Bst,0.7234 ,0.2585 
ant-1.5,32,293,0.109215017,8.15625,CK,IBk,Y,Bst,0.7160 ,0.2625 
