"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","SMOTE",0.5755,0.0551,"Low IR","ant-1.4",0,0.0551
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","SMOTE",0.6862,0.3588,"M&H IR","ant-1.5",0.3255,0.0333
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","SMOTE",0.7543,0.4625,"Low IR","ant-1.6",0.4712,-0.00869999999999999
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","SMOTE",0.5281,0.058,"M&H IR","camel-1.0",0,0.058
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","SMOTE",0.5298,0.0289,"Low IR","camel-1.2",0.0254,0.0035
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","SMOTE",0.637,0.2001,"M&H IR","camel-1.4",0.0968,0.1033
"camel-1.6",188,965,0.194818653,4.132978723,"CK","C4.5","Y","SMOTE",0.6238,0.1657,"M&H IR","camel-1.6",0.105,0.0607
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK","C4.5","Y","SMOTE",0.7241,0.381,"Low IR","Eclipse_JDT_Core",0.4041,-0.0231
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK","C4.5","Y","SMOTE",0.645,0.1772,"M&H IR","Eclipse_PDE_UI",0.0751,0.1021
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK","C4.5","Y","SMOTE",0.7256,0.379,"Low IR","Equinox_Framework",0.3526,0.0264
"ivy-2.0",40,352,0.113636364,7.8,"CK","C4.5","Y","SMOTE",0.7213,0.2833,"M&H IR","ivy-2.0",0.0938,0.1895
"jedit-3.2",90,272,0.330882353,2.022222222,"CK","C4.5","Y","SMOTE",0.7467,0.4066,"Low IR","jedit-3.2",0.4465,-0.0399
"jedit-4.0",75,306,0.245098039,3.08,"CK","C4.5","Y","SMOTE",0.7182,0.3666,"Low IR","jedit-4.0",0.3875,-0.0209
"jedit-4.1",79,312,0.253205128,2.949367089,"CK","C4.5","Y","SMOTE",0.7331,0.389,"Low IR","jedit-4.1",0.4463,-0.0573
"jedit-4.2",48,367,0.130790191,6.645833333,"CK","C4.5","Y","SMOTE",0.718,0.2941,"M&H IR","jedit-4.2",0.0516,0.2425
"jedit-4.3",11,492,0.022357724,43.72727273,"CK","C4.5","Y","SMOTE",0.7651,0.2007,"M&H IR","jedit-4.3",0,0.2007
"log4j-1.0",34,135,0.251851852,2.970588235,"CK","C4.5","Y","SMOTE",0.7612,0.42,"Low IR","log4j-1.0",0.4226,-0.00259999999999999
"Lucene",64,691,0.092619392,9.796875,"CK","C4.5","Y","SMOTE",0.5885,0.1568,"M&H IR","Lucene",0.0029,0.1539
"Mylyn",245,1862,0.131578947,6.6,"CK","C4.5","Y","SMOTE",0.645,0.1553,"M&H IR","Mylyn",0.0139,0.1414
"poi-2.0",37,314,0.117834395,7.486486486,"CK","C4.5","Y","SMOTE",0.6541,0.2466,"M&H IR","poi-2.0",0.0231,0.2235
"synapse-1.0",16,157,0.101910828,8.8125,"CK","C4.5","Y","SMOTE",0.633,0.2283,"M&H IR","synapse-1.0",0.0136,0.2147
"synapse-1.1",60,222,0.27027027,2.7,"CK","C4.5","Y","SMOTE",0.6879,0.3648,"Low IR","synapse-1.1",0.3822,-0.0174
"synapse-1.2",86,256,0.3359375,1.976744186,"CK","C4.5","Y","SMOTE",0.7251,0.4273,"Low IR","synapse-1.2",0.462,-0.0347
"velocity-1.6",78,229,0.340611354,1.935897436,"CK","C4.5","Y","SMOTE",0.6308,0.2164,"Low IR","velocity-1.6",0.2073,0.0091
"xerces-1.2",71,440,0.161363636,5.197183099,"CK","C4.5","Y","SMOTE",0.7147,0.2847,"M&H IR","xerces-1.2",-0.0046,0.2893
"xerces-1.3",69,453,0.152317881,5.565217391,"CK","C4.5","Y","SMOTE",0.7521,0.3201,"M&H IR","xerces-1.3",0.3433,-0.0232
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","COS",0.7281,0.3983,"M&H IR","ant-1.3",-0.0098,0.4081
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","COS",0.5059,0.0091,"Low IR","ant-1.4",0,0.0091
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","COS",0.7449,0.4652,"M&H IR","ant-1.5",0.3255,0.1397
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","COS",0.7729,0.4739,"Low IR","ant-1.6",0.4712,0.00269999999999998
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","COS",0.6008,0.0997,"M&H IR","camel-1.0",0,0.0997
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","COS",0.5414,0.0826,"Low IR","camel-1.2",0.0254,0.0572
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","COS",0.6461,0.2135,"M&H IR","camel-1.4",0.0968,0.1167
"camel-1.6",188,965,0.194818653,4.132978723,"CK","C4.5","Y","COS",0.6102,0.1541,"M&H IR","camel-1.6",0.105,0.0491
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK","C4.5","Y","COS",0.7356,0.4336,"Low IR","Eclipse_JDT_Core",0.4041,0.0295
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK","C4.5","Y","COS",0.6807,0.2636,"M&H IR","Eclipse_PDE_UI",0.0751,0.1885
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK","C4.5","Y","COS",0.7167,0.3951,"Low IR","Equinox_Framework",0.3526,0.0425
"ivy-2.0",40,352,0.113636364,7.8,"CK","C4.5","Y","COS",0.7477,0.3617,"M&H IR","ivy-2.0",0.0938,0.2679
"jedit-3.2",90,272,0.330882353,2.022222222,"CK","C4.5","Y","COS",0.7435,0.4384,"Low IR","jedit-3.2",0.4465,-0.0081
"jedit-4.0",75,306,0.245098039,3.08,"CK","C4.5","Y","COS",0.7251,0.4099,"Low IR","jedit-4.0",0.3875,0.0224
"jedit-4.1",79,312,0.253205128,2.949367089,"CK","C4.5","Y","COS",0.7344,0.4252,"Low IR","jedit-4.1",0.4463,-0.0211
"jedit-4.2",48,367,0.130790191,6.645833333,"CK","C4.5","Y","COS",0.7947,0.4144,"M&H IR","jedit-4.2",0.0516,0.3628
"jedit-4.3",11,492,0.022357724,43.72727273,"CK","C4.5","Y","COS",0.5585,0.0797,"M&H IR","jedit-4.3",0,0.0797
"log4j-1.0",34,135,0.251851852,2.970588235,"CK","C4.5","Y","COS",0.7302,0.431,"Low IR","log4j-1.0",0.4226,0.00840000000000002
"Lucene",64,691,0.092619392,9.796875,"CK","C4.5","Y","COS",0.6344,0.2044,"M&H IR","Lucene",0.0029,0.2015
"Mylyn",245,1862,0.131578947,6.6,"CK","C4.5","Y","COS",0.6574,0.2326,"M&H IR","Mylyn",0.0139,0.2187
